Date,Open,High,Low,Close,Volume,Name
7/7/2006,213.24,214.16,208.15,210.44,6042310,GOOGL
7/10/2006,211.93,212.83,208.4,209.31,4438867,GOOGL
7/11/2006,209.46,212.74,206.72,212.49,5972817,GOOGL
7/12/2006,211.26,211.58,208.57,208.83,4906618,GOOGL
7/13/2006,207.21,209.38,203.62,204.62,6924475,GOOGL
7/14/2006,205.37,205.95,199.5,201.95,7552072,GOOGL
7/17/2006,202.52,205.7,202.06,204.15,5813229,GOOGL
7/18/2006,205.08,205.49,199.07,201.73,8631609,GOOGL
7/19/2006,197.7,200.77,197.53,199.7,8523151,GOOGL
7/20/2006,202.34,202.42,193.02,193.75,12631703,GOOGL
7/21/2006,193.26,196.07,189.03,195.25,11767919,GOOGL
7/24/2006,196.61,197.14,190.8,195.65,8087709,GOOGL
7/25/2006,192.7,195.85,192.09,194.87,5761388,GOOGL
7/26/2006,194.29,196.15,191.69,192.94,5532668,GOOGL
7/27/2006,193.88,193.94,189.16,191.39,5641105,GOOGL
7/28/2006,191.19,194.97,191.06,194.25,4084395,GOOGL
